comprise,The subject entity is composed of or includes the object entity as a component or part.
set_on,The subject entity is placed or positioned on the surface of the object entity.
arranged_in,The subject entity is organized or positioned in the pattern or configuration specified by the object entity.
coiling_around,The subject entity wraps or winds around the object entity in a spiral or coil-like manner.
formed_to,The subject entity is created or designed in order to achieve the action or purpose specified by the object entity.
use,The subject entity employs or utilizes the object entity for a specific purpose or function.
generate,The subject entity produces or creates the object entity.
removed_by,The object entity is eliminated or taken away from the area or condition specified by the subject entity.
connected_to,"The subject entity is linked or joined to the object entity, establishing a connection or relationship between them."
have,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
removed_from,The subject entity is eliminated or taken away from the area or condition specified by the object entity.
used_in,The subject entity is situated or found within the area or process specified by the object entity.
used_for,"The subject entity is utilized for the purpose of measuring, detecting, or evaluating the object entity."
indicative_of,The subject entity serves as an indication or representation of the object entity.
between,The subject entity is positioned or measured in the space or range specified by the object entity.
associated_with,The subject entity is connected or linked to one of the entities specified by the object entity.
part_of,The subject entity constitutes or makes up a part of the object entity.
located_on,The subject entity is situated or found on the surface or area specified by the object entity.
based_on,"The subject entity relies on or is derived from the information, data, or model provided by the object entity."
formed_on,The subject entity is constructed or developed on the surface or area specified by the object entity.
opposite_to,The subject entity is positioned or situated in a direction that is contrary or opposed to the object entity.
reduce,The subject entity decreases or lessens the extent or amount of the object entity.
also_known_as,The subject entity is another name or alias for the object entity.
supported_in,The subject entity is held or maintained within the object entity.
relates_to,"The subject entity is connected or associated with the object entity in terms of relevance, connection, or relationship."
comprising,The subject entity includes or consists of the object entity as a component or part.
example_of,The subject entity serves as an instance or illustration of the object entity.
formed_by,The subject entity is created or produced as a result of the actions or processes specified by the object entity.
located_along,The subject entity is positioned or situated alongside or parallel to the object entity.
located_in,The subject entity is situated or found within the area or layer specified by the object entity.
perpendicular_to,The subject entity is oriented or positioned at a right angle to the surface or direction specified by the object entity.
greater_than,The subject entity exceeds or is more than the quantity or level specified by the object entity.
applied_to,The subject entity is utilized or applied to the object entity.
recessed_from,The subject entity is positioned or set back from the surface of the object entity.
extends_from,The subject entity stretches or continues outward from the object entity.
deposited_on,The subject entity is placed or applied on the surface or area specified by the object entity.
exposed_to,The subject entity is subjected to or treated with the condition or substance specified by the object entity.
less dense than,The subject entity has a lower density or compactness compared to the object entity.
etched,"The subject entity undergoes a selective or preferential removal process, resulting in the object entity being affected in a specific manner."
by,The subject entity accomplishes or achieves the object entity through the means or method specified.
includes,The subject entity contains or comprises the object entity as a component or part.
diffused_into,The subject entity is absorbed or permeated into the object entity.
diffused_through,The subject entity is dispersed or spread through the object entity by passing through the specified area or portions.
provides,"The subject entity supplies or furnishes the object entity with the specified resource, material, or element."
located_at,The subject entity is situated or found at the location specified by the object entity.
lower_than,The subject entity has a value or quality that is less than the value or quality of the object entity.
attribute_of,The subject entity is a characteristic or property that belongs to or is associated with the object entity.
from,The subject entity originates or emanates from the location or entity specified by the object entity.
adhere_to,The subject entity is attached or stuck to the surface or entity specified by the object entity.
specify,The subject entity defines or indicates the characteristics or details of the object entity.
processed_using,"The subject entity is subjected to a specific treatment, operation, or modification based on the characteristics or specifications of the object entity."
combine_with,The subject entity is mixed or joined together with the object entity.
form,The subject entity is transformed or converted into the object entity.
formed_during,The object entity is created or generated during the process specified by the subject entity.
