used_for,The subject entity is utilized for the purpose of achieving or creating the object entity.
formed_in,The subject entity is created or established within the area or layer specified by the object entity.
include,The subject entity consists of or contains the object entity as a component or part.
have,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
lower_than,The subject entity has a quantity or level that is less than the quantity or level specified by the object entity.
formed_on,The subject entity is created or established on the surface or structure specified by the object entity.
removed,The subject entity is eliminated or taken away from the area or condition specified by the object entity.
expose,The subject entity is uncovered or revealed to reveal the object entity.
form,The subject entity transforms or changes the object entity into the specified form or state.
cover,"The subject entity is positioned or placed over the object entity to provide protection, insulation, or containment."
belong_to,The subject entity is a part or component of the object entity.
is,"The subject entity is being given, supplied, or made available with the object entity."
comprising,The subject entity includes or consists of the action or process specified by the object entity.
located_in,The subject entity is situated or found within the area or layer specified by the object entity.
occurs_in,The subject entity takes place or happens within the area or location specified by the object entity.
flow_into,The subject entity moves or is directed into the area or chamber specified by the object entity.
created_from,The subject entity is generated or produced as a result of the object entity.
provided_for,The subject entity is supplied or given in order to support or enable the object entity to perform a specific action or function.
target,The subject entity is directed towards or aimed at the object entity.
activates,The subject entity triggers or initiates a process or reaction in the object entity.
from,The subject entity originates or comes from the source specified by the object entity.
etch,The subject entity removes material from the object entity through a chemical process.
stopped,The subject entity ceases or halts the action or flow of the object entity.
located_on,The subject entity is situated or found on the surface or structure specified by the object entity.
part_of,The subject entity constitutes or makes up a component or section of the object entity.
removed_from,The subject entity is eliminated or taken away from the area or condition specified by the object entity.
removed selectively to,The subject entities are specifically eliminated or taken away in relation to the object entities to achieve a certain outcome or purpose.
provide,"The subject entity furnishes, supplies, or offers the object entity with a particular feature, attribute, or function."
connect,"The subject entity establishes a link, relationship, or pathway between the object entities."
correspond_to,"The subject entity is related or associated with the object entity in a manner that indicates similarity, alignment, or correspondence."
located_over,The subject entity is positioned or situated above the object entity.
adjoins,The subject entity is situated next to or in close proximity to the object entity.
holds,The subject entity securely supports or maintains the object entity in a fixed position or location.
has,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
applied_to,The subject entity is administered or put onto the object entity for a specific purpose or action.
supplies_to,The subject entity provides or delivers the object entity to the location or surface specified by the object entity.
dries,The subject entity performs the action of removing moisture or liquid from the object entity through a drying process.
removes,The subject entity eliminates or takes away the object entity specified.
remains,The object entity persists or stays in its current state despite the action performed by the subject entity.
not_deposited_on,The subject entity is intentionally excluded or not applied onto the surface or area specified by the object entity.
prevent,The subject entity hinders or stops the action or occurrence of the object entity.
implanted_into,The subject entity is inserted or introduced into the object entity.
different_than,The first subject entity's characteristic or property is distinct or dissimilar from the second subject entity's characteristic or property.
made_of,The subject entity is composed or constructed from the material specified by the object entity.
heated_to,The subject entity is raised or brought to the temperature specified by the object entity.
provided_by,The subject entity is the source or supplier of the action or attribute specified by the object entity.
transferred_into,The subject entity is moved or conveyed into the specified location or container.
absorbs,The subject entity takes in or absorbs the specified type of energy or substance.
heated_by,The subject entity is warmed or heated by the action or influence of the object entity.
made_uniform,The subject entity ensures that the quality or property of the object entity is consistent or equal.
constitute,The subject entity forms or makes up the object entity.
eliminated_before,The subject entity is removed or done away with prior to the object entity being processed or transferred.
transferred_to,The subject entity is moved or conveyed to the location or recipient specified by the object entity.
exposed_to,The subject entity is subjected to or treated with the action or process specified by the object entity.
etched_through,The subject entity undergoes a process or action that involves passing through or being removed by the object entity.
used_on,The subject entity is utilized on or applied to the object entity for the purpose of achieving a specific outcome or result.
suitable_for,The subject entity is appropriate or well-suited for achieving the purpose or goal specified by the object entity.
of,The subject entity is related to or associated with the object entity in terms of possessing a specific quality or characteristic.
formed_by,The subject entity is created or produced by the object entity.
partially formed_due_to,The subject entity is in a state of being partially created or developed as a result of the object entity.
after,The action or process specified by the subject entity occurs subsequent to the event or condition specified by the object entity.
performed_by,The subject entity is executed or carried out by the method or tool specified by the object entity.
coated_onto,The subject entity is applied or deposited onto the surface of the object entity.
