includes,The subject entity contains or comprises the object entity as a component or part.
provided_between,The subject entity is positioned or situated between the two entities specified by the object entities.
connected_to,"The subject entity is linked or joined to the object entity, establishing a connection or relationship between them."
produce,The subject entity generates or creates the object entity.
removed_from,The subject entity is taken away or eliminated from the object entity.
used_in,The subject entity is employed or utilized within the context or process specified by the object entity.
used_for,The subject entity is utilized for the purpose of achieving the objective or function specified by the object entity.
located_on,The subject entity is situated or found on the surface or area specified by the object entity.
reduced_by,The subject entity decreases or lessens the quantity or level of the object entity by performing the action specified by the object entity.
located_under,The subject entity is situated or positioned beneath the object entity.
have,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
inclined_downwards_from,The subject entity slopes or tilts in a downward direction from the area or side specified by the object entity.
extended_along,The subject entity stretches or continues in a linear path along the direction specified by the object entity.
configured_to,The subject entity is designed or arranged to perform the action or function specified by the object entity.
applied_to,The subject entity is administered or put onto the surface or area specified by the object entity.
target,The subject entity is the intended recipient or destination of the action or function specified by the object entity.
provided_for,The subject entity is made available or supplied for the purpose of executing or carrying out the object entity.
opposes,The subject entity is positioned or situated in a manner that is directly facing or opposite to the object entity.
extends_between,The subject entity spans or covers the distance between the two points or entities specified by the object entity.
include,The subject entity consists of or involves the action or entity specified by the object entity.
achieved_by,The subject entity accomplishes or achieves the action specified by the object entity.
removed_to,The subject entity is taken or reduced to the extent specified by the object entity.
of,The subject entity is a part or component of the object entity.
opposing,The subject entity is positioned in a manner that is opposite or facing the object entity.
formed_at,The subject entity is created or developed at the temperature range specified by the object entity.
form,The subject entity transforms or changes into the object entity.
greater_than,The subject entity exceeds or is higher than the value or range specified by the object entity.
part_of,The subject entity is a component or element of the object entity.
widening_toward,The subject entity broadens or extends towards the area specified by the object entity.
overlies,The subject entity is positioned or situated above the object entity.
electrically connected to,"The subject entity has an electrical connection or pathway established with the object entity, allowing the flow of electrical current between them."
surrounded_by,The subject entity is encircled or enclosed by the object entity.
along,The subject entity moves or extends in the direction specified by the object entity.
formed_between,The subject entity is created or established as an intermediary or connecting element between the two object entities.
inclined_with_respect_to,The subject entity is slanted or angled in relation to the object entity.
start cutting,The subject entity initiates or begins the action of cutting at the position or location specified by the object entity.
raised_to,The subject entity is elevated or moved upwards to reach the specified action or position described by the object entity.
stop cutting,The subject entity ceases or halts the action of cutting at the position or location specified by the object entity.
type_of,The subject entity belongs to a specific category or type that is represented by the object entity.
grown_on,"The subject entity is grown or deposited on top of the object entity, typically to form a layered structure or composite material."
decomposed_by,The subject entity undergoes a process of breakdown or disintegration as a result of the action or influence of the object entity.
detached_from,The subject entity is separated or removed from the object entity.
undergo,The subject entity experiences or goes through the action or process specified by the object entity.
located_along,The subject entity is positioned or situated in close proximity to the object entity.
singulated_from,The subject entity is separated or extracted from the object entity.
performed_on,The subject entity is carried out or executed on the object entity.
expose,The subject entity reveals or makes visible the object entity.
result_in,The subject entity leads to or causes the object entity to occur.
relates_to,"The subject entity is connected or associated with the object entity in terms of relevance, connection, or relationship."
penetrates,"The subject entity passes through or pierces the object entity, typically indicating a physical or spatial relationship where the subject entity extends into or through the object entity."
surrounds,"The subject entity encloses or encompasses the object entity, creating a barrier or boundary around it."
located_between,The subject entity is positioned or situated between the entities specified by the object entity.
originates_from,The subject entity originates or comes from the source or starting point specified by the object entity.
moves_to,The subject entity transitions or moves towards the destination or target specified by the object entity.
suppress,The subject entity inhibits or prevents the action or occurrence of the object entity.
located_in,The subject entity is situated or found within the area or region specified by the object entity.
reduce,The subject entity decreases or lowers the quantity or amount of the object entity.
disposed_on,The subject entity is placed or positioned on the object entity.
extends_along,The subject entity stretches or runs parallel to the length or direction specified by the object entity.
in_form_of,The subject entity takes on the shape or appearance specified by the object entity.
flush_with,"The subject entity is aligned or level with the object entity, creating a smooth and continuous surface without any protrusions or gaps."
compared_to,The subject entity is being contrasted or evaluated in relation to the object entity.
made_from,The subject entity is created or produced using the material or process specified by the object entity.
maximize,The subject entity enhances or optimizes the quantity or level of the object entity.
