provide,"The subject entity offers or supplies the object entity, making it available or accessible."
include,The subject entity contains or encompasses the object entity as a component or part of its structure.
located_in,The subject entity is situated or found within the area or condition specified by the object entity.
detected_through,The subject entity is identified or recognized by means of the object entity.
replaced_by,The subject entity is substituted or exchanged with the object entity.
assigned,The subject entity is given or designated the function or role specified by the object entity.
can be,The subject entity has the capability or potential to undergo the action specified by the object entity.
re-routes,The subject entity redirects or changes the path of the object entity.
not provide,The subject entity refrains from supplying or giving the object entity with the specified item or information.
implement,The subject entity puts into effect or carries out the neural network specified by the object entity.
re-purpose,The subject entity repurposes or reconfigures the individual neurons to implement neurons of multiple stages specified by the object entity.
discard,The subject entity gets rid of or discards the defective neuron specified by the object entity.
remove,The subject entity eliminates or takes away the defective neuron specified by the object entity.
removed_from,The subject entity is eliminated or taken away from the area or condition specified by the object entity.
configure,The subject entity arranges or sets up the pool of neurons to perform the operation(s) specified by the object entity.
store,The subject entity retains or keeps the object entity for future reference or use.
store_instead_of,The subject entity retains or keeps the object entity in place of another specified entity.
used_for,The subject entity is utilized for the purpose of achieving or controlling the object entity.
indicative_of,"The subject entity serves as an indication or representation of the object entity, reflecting its characteristics or properties."
between,The subject entity is positioned or measured in the space or range specified by the object entity.
associated_with,"The subject entity is connected or linked in some way to the object entity, indicating a relationship or association between them."
formed_on,The subject entity is constructed or established on the surface or area specified by the object entity.
opposite_to,The subject entity is situated or positioned in a direction that is contrary or reverse to the object entity.
formed_at,The subject entity is created or developed during the specific stage or process indicated by the object entity.
example_of,The subject entity is an instance or representation of the object entity.
have,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
caused_by,The subject entity is the reason or source of the action or condition specified by the object entity.
attached_to,The subject entity is joined or fixed to the object entity.
reduced_by,The subject entity decreases or lessens the occurrence or amount of the object entity.
provided_at,"The subject entity is located or situated at the object entity, indicating a spatial or functional relationship between the two entities."
cause,The subject action results in or brings about the occurrence of the object entity or event.
occur_in,The object entity or event takes place within or is a part of the subject entity or process.
